#######################
   XBIN   YBIN   VEL
    0.1   12.3  128.2
  -13.1   -2.4   92.8
    2.2   12.7  100.9
   -9.1    8.3  233.1
    8.4   10.3   42.1
   13.4    3.3  -53.6
   12.4    5.6  -27.9
    4.0  -13.4 -164.4
  -12.2   -5.7   54.2
    9.1  -10.7 -202.2
   -2.8   12.4  168.8
    7.7  -11.7 -190.4
   -0.4  -14.0  -88.8
  -10.0   -9.0   21.5
  -12.4    3.6  170.5
   -7.2  -12.0   -8.9
   15.3    0.0  -72.8
    6.0  -13.2 -179.5
    6.5   11.8   68.0
   12.4   -7.6 -172.7
   11.9    7.9   10.5
   -2.8  -14.0  -62.9
   -8.3    9.9  256.0
   10.7   -9.9 -204.4
   -4.4   12.4  196.1
  -10.6    7.5  239.7
  -11.9   -8.0   40.8
   -6.9   10.9  241.7
   -1.5   13.4  149.0
  -13.3    2.3  155.5
  -12.4    5.2  195.9
  -14.3   -4.5   75.1
   -4.3  -14.5  -40.7
   -9.9    9.1  252.6
    0.9  -14.8 -103.0
   13.9   -5.5 -145.5
    3.2  -14.8 -139.3
    7.6  -13.2 -195.4
   -1.5  -15.2  -75.6
   -6.2  -13.7  -25.1
   10.0  -11.6 -214.6
   15.5   -2.4  -98.1
   -9.8  -11.2    0.2
    9.0  -12.8 -197.1
   -6.0   12.4  221.1
  -15.2   -0.7  122.7
   12.4   -9.2 -189.1
   15.7    2.6  -48.5
    5.5   13.7   78.5
  -15.1    1.6  146.3
   14.3    5.6  -17.6
    0.3   14.6  126.0
   10.4   11.2   28.4
  -12.4    6.8  215.7
   -9.1   10.7  241.8
    5.5  -14.7 -160.4
    3.5   14.6  102.6
   11.6  -10.8 -212.0
  -11.6    8.4  244.4
   -8.0   11.8  232.3
   14.5    8.0    5.3
    8.1   12.9   33.4
   -3.9   13.9  193.4
   13.9   -7.9 -180.1
   -8.8  -13.1   -6.9
  -11.9  -10.3   33.4
   12.7   10.6    4.4
  -13.9    5.0  194.0
  -10.8   10.0  252.9
  -16.3   -2.8   96.7
   -3.2  -16.3  -49.7
   15.3   -6.5 -163.1
   16.0   -4.7 -128.5
  -15.1   -7.9   58.7
   -2.4   15.6  153.7
